ID,State, Name,Password
1,Andhra Pradesh,Aganampudi,ZhSot7SKL5vJSsZA851kkw==
2,Andhra Pradesh,Amakathadu,Gz2KU2YEdf+Yjb/EFGs5Fw==
3,Andhra Pradesh,Annampalli,wHCHJGBGZyTmQnR338a9nA==
4,Andhra Pradesh,Badava,SIa8ivuS1mSeWN8T/0FMVw==
5,Andhra Pradesh,Bandaplli,WosOlhAACxlRJ9Zi5OCPLw==
6,Andhra Pradesh,Bandlapalli,XN+wT+hdSoU78yYoyTGE1Q==
7,Andhra Pradesh,Basapuram,Proqb0KJN4stXpHt9gMKmw==
8,Andhra Pradesh,Bathalapalli,0BqqSY/L2ANYoAE7JTNw9w==
9,Andhra Pradesh,Bellupada,ri40EIWLSRgpVN8+dFvVUg==
10,Andhra Pradesh,Bollapalli,uwX4W8m1qa3JByG/GtkW1g==
11,Andhra Pradesh,Brahmanapalli,eYfwm1Gh82tqEnKnqnxscw==
12,Andhra Pradesh,Buchireddypalem,WxmYS7zCNrJm8px267F8xQ==
13,Andhra Pradesh,Budhanam,szOKn3kgaHOwFLpvfDMuzg==
14,Andhra Pradesh,Chagalmarri,WuFvO+sSuDaNngxE6L4Mjg==
15,Andhra Pradesh,Chapirevula,yYP0M30RDszkq+YTG4s0yQ==
16,Andhra Pradesh,Chilakapalem,KvF/+nT/ykeftwoylejeyw==
17,Andhra Pradesh,Chillakallu,iFwhfTqXi7MNheSNfggTUw==
18,Andhra Pradesh,Chinaganjam,EJb/mvJ5kTvxrpr8Pi0k6w==
19,Andhra Pradesh,Chintalapalem,hr3qDtBFRBDdh1VG2H+zFA==
20,Andhra Pradesh,Chitimiti Chintala,4a0SuiJRapkNpfYqF97VDw==
21,Andhra Pradesh,Cholasamudram,56kNdqMeMpNE/WPixi3UQQ==
22,Andhra Pradesh,Danamaiahgari palli,1xFUlrWCUILWyB8HlJHtNw==
23,Andhra Pradesh,Davuluru,NhxbgA2DTwGcNVUQyxEa5g==
24,Andhra Pradesh,DC PALLI,ApE/Qp7Uhf7LqmQSs9oTcQ==
25,Andhra Pradesh,Dukkavanipalem,98a7W7mQQQyZ9ktHlBOc7Q==
26,Andhra Pradesh,Durgamvaripalli,0VSWSNw8T8AJuIr1CJVzTw==
27,Andhra Pradesh,Eathakota,J6QGEm/t/PI+zLXbttLbOw==
28,Andhra Pradesh,Gadanki,Hh92126TY6ZWwAS9yBRUpA==
29,Andhra Pradesh,Gollaprolu,J8zMsteHcBriutCOHAaWTg==
30,Andhra Pradesh,Gorribanda,j+5gggBAGJiWPvjBmh3H6A==
